company_name,hq_country,industry,description,risk_category,confidence_score,detected_triggers
QRfy,Spain,Spain,"Qr Code, Software As A Service, QR Codes",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Tronando,Spain,Spain,"Internet News, Tech, Digital",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
The Hist,Spain,Spain,"Newspaper Publishing, Communication, Streaming, Blockchain",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Swap Your Travel,Spain,Spain,"Travel Arrangements, Transportation, digital platform",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Sustonica,Spain,Spain,"Hospitality, sustainability, tourism, vacation rentals",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
SimSkills,Spain,Spain,"Professional Training, Coaching, SaaS",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Rozett,Spain,Spain,"Web3, Metaverse, 3D Fashion, Blockchain",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
MyGreen,Spain,Spain,"Product Design, Product Formulation, Advertising, Communication",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Medea Mind,Spain,Spain,"Mental Health Care, SaaS, e-health",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Lexy,Spain,Spain,"Advertising Services, artificial intelligence, social media content",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Les Amis,Spain,Spain,"Social Networking, Platforms, Marketplace",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Laurel Gaming,Spain,Spain,"Entertainment, videogames, rewards, social apps",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
jolders,Spain,Spain,"blockchain, metaverse, social, media",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Invite,Spain,Spain,"mobile app, digital, tech",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Huru Ventures,Spain,Spain,"Computer Games, blockchain, finance",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Hub4Retail,Spain,Spain,"Data Infrastructure, Analytics, SaaS, Retail",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Flamme,Spain,Spain,"Consumer Services, Couples App, Relationships",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Hunger Brands,Spain,Spain,"Food, Beverage Services, Food delivery, Digital",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
MPL XR Company,Spain,Spain,"XR, Immerisve, technology, SaaS",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Kavan Health,Spain,Spain,"Mental Health, Software, Marketplace",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
3dthinks,Spain,Spain,"Software, 3d printing, distributive manufacturing",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Year One Partners,Spain,Spain,"International, Market, Entry, Advisory",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
StMetric,Spain,Spain,"metrics, marketing, analytics",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Capboard,Spain,Spain,"legal tech, equity management software, equity plan, cap table",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
ICARUS DRONE SYSTEMS,Spain,Spain,"drone, services, innovation, agrotech",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Quasar Labs,Spain,Spain,"Blockchain, Cosmos, Defi, Tendermint",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
